Test ID,Module,Feature,Test Case Title,Pre-conditions,Test Steps,Expected Result,Actual Result,Status,Priority,Test Type,Bug ID,Bug Description,Severity,Reported By,Date Tested,Notes
TC-AUTH-001,Authentication,Sign Up,Successful new user registration,App is accessible,"1. Go to /signup 2. Enter first name, last name, valid email, password (min 8 chars with uppercase+number) 3. Click Sign Up 4. Check email for OTP 5. Enter OTP on /verify-otp page",User account created; redirected to dashboard,,Not Tested,Critical,Functional,,,,,
TC-AUTH-002,Authentication,Sign Up,Signup with existing email,App is accessible,"1. Go to /signup 2. Enter an email already registered 3. Click Sign Up",Error message: 'Email already in use',,Not Tested,High,Functional,,,,,
TC-AUTH-003,Authentication,Sign Up,Signup with weak password,App is accessible,"1. Go to /signup 2. Enter password '12345678' (no uppercase/special) 3. Click Sign Up",Validation error shown; form not submitted,,Not Tested,High,Functional,,,,,
TC-AUTH-004,Authentication,OTP Verification,Valid OTP verification,User signed up; OTP email received,"1. Enter the 6-digit OTP from email 2. Click Verify",Account activated; redirected to dashboard,,Not Tested,Critical,Functional,,,,,
TC-AUTH-005,Authentication,OTP Verification,Expired or incorrect OTP,User signed up,"1. Enter wrong OTP 2. Click Verify",Error: 'Invalid or expired code',,Not Tested,High,Functional,,,,,
TC-AUTH-006,Authentication,OTP Verification,Resend OTP,User on verify-otp page,"1. Click Resend OTP 2. Check email for new OTP 3. Enter new OTP",New OTP received; old OTP invalid; verification succeeds,,Not Tested,Medium,Functional,,,,,
TC-AUTH-007,Authentication,Login,Successful login with valid credentials,User account exists and is verified,"1. Go to /login 2. Enter valid email and password 3. Click Login",Access token stored; redirected to dashboard based on role,,Not Tested,Critical,Functional,,,,,
TC-AUTH-008,Authentication,Login,Login with wrong password,User account exists,"1. Go to /login 2. Enter valid email and wrong password 3. Click Login",Error: 'Invalid credentials',,Not Tested,High,Functional,,,,,
TC-AUTH-009,Authentication,Login,Login with unverified account,User signed up but did not verify OTP,"1. Go to /login 2. Enter credentials for unverified account 3. Click Login",Error: 'Please verify your email first',,Not Tested,High,Functional,,,,,
TC-AUTH-010,Authentication,Password Reset,Request password reset,User account exists and is verified,"1. Go to /forgot-password 2. Enter registered email 3. Click Send Reset Link 4. Check email for OTP",OTP email received for password reset,,Not Tested,High,Functional,,,,,
